Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite,Status_vs_527,T6_Filename,T6_Record,T6_Materials,T6_IDConfidence,NeedsSignoff,MappingNotes
1,6858,group.1um/organic_green_plastic_tarp_1um,Plastic_Tarp GDS339 Green W1R1Fa,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_Tarp_GDS339_Green_ASDFRa_AREF.html,1,splib06,,,,,,,,,,,,,,,,-1,,,,identical,group.1um/organic_green_plastic_tarp_1um,6858,organic+plastic_green,8,no,
2,744,group.1um/fe3+_hematite.fine.gr.gds76,Hematite.02+Quartz.98 GDS76 W1R1Ha,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite.02+Quartz.98_GDS76_BECKa_AREF.html,1,sprlb06,,,,,,0.02,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.fine.gr.gds76,744,hematite_smallgrain,9,YES,diagnostic feature definition changed
3,882,group.1um/fe3+_goethite.medgr.ws222,Goethite WS222 <250um MedGrn W1R1H_ AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Medium_Gr._BECKa_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.medgr.ws222,882,goethite,9,YES,diagnostic feature definition changed
4,5736,group.1um/fe3+_goethite+qtz.medgr.gds240,Goethite0.02+Quartz GDS240 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite0.02+Quartz_GDS240_BECKa_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite+qtz.medgr.gds240,5736,goethite,9,YES,diagnostic feature definition changed
5,1878,group.1um/fe3+_goethite.fingr.mpcma2,Goethite MPCMA2-B FineGr adj W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-B_FineGr_adj_BECKb_AREF.html,1,splib06,,,,0.2,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.fingr.mpcma2,1878,goethite,9,YES,output name fe3+_goethite.fingr â†’ fe3+_goethite.fingr.mpcma2; diagnostic feature definition changed
6,852,group.1um/fe3+_goethite.medcoarsegr.mpcma2,Goethite MPCMA2-C M-Crsgrad2 W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-C_M-Crsgrad2_BECKb_AREF.html,1,sprlb06,,,,0.37,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.medcoarsegr.mpcma2,852,goethite,9,YES,output name fe3+_goethite.medcoarsegr.mpc.trjar â†’ fe3+_goethite.medcoarsegr.mpcma2; diagnostic feature definition changed
7,894,group.1um/fe3+_goethite.coarsegr.ws222,Goethite WS222 coarse grain W1R1H_,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Coarse_Gr._BECKa_AREF.html,1,sprlb06,,,,1,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.coarsegr.ws222,894,goethite,9,YES,output name fe3+_goethite.coarsegr â†’ fe3+_goethite.coarsegr.ws222; diagnostic feature definition changed
8,6168,group.1um/fe3+_goethite.thincoat,Goethite_Thin_Film WS222 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_Thin_Film_WS222_BECKa_AREF.html,1,splib06,,,,0.1,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goethite.thincoat,6168,goethite_smallgrain,9,YES,diagnostic feature definition changed
9,5730,group.1um/fe3+_goeth+jarosite,Goeth+qtz.5+Jarosite.5 AMX11 W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goeth+qtz.5+Jarosite.5_AMX11_BECKb_AREF.html,1,splib06,,,,0.02,,,,,,,,,,,,,,,,diverged,group.1um/fe3+_goeth+jarosite,5730,goethite+jarosite,9,YES,diagnostic feature definition changed
10,6042,group.1um/sulfide_pyrite,Pyrite LV95-6A Weath on Tail W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pyrite_LV95-6A_Weath_on_Tail_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,-1,,,,,diverged,group.1um/sulfide_pyrite,6042,pyrite,9,YES,diagnostic feature definition changed
