,group,library,record,title,path
0,1,splib06,6858.0,Plastic_Tarp GDS339 Green W1R1Fa,group.1um/organic_green_plastic_tarp_1um
1,1,sprlb06,744.0,Hematite.02+Quartz.98 GDS76 W1R1Ha,group.1um/fe3+_hematite.fine.gr.gds76
2,1,sprlb06,882.0,Goethite WS222 <250um MedGrn W1R1H_ AREF,group.1um/fe3+_goethite.medgr.ws222
3,1,splib06,5736.0,Goethite0.02+Quartz GDS240 W1R1Ba,group.1um/fe3+_goethite+qtz.medgr.gds240
4,1,splib06,10000.0,Goethite MPCMA2-B FineGr adj W1R1Bb,group.1um/fe3+_goethite.fingr.mpcma2
5,1,sprlb06,10001.0,Goethite MPCMA2-C M-Crsgrad2 W1R1Hb AREF,group.1um/fe3+_goethite.medcoarsegr.mpcma2
6,1,sprlb06,10002.0,Goethite WS222 coarse grain W1R1H_,group.1um/fe3+_goethite.coarsegr.ws222
7,1,splib06,6168.0,Goethite_Thin_Film WS222 W1R1Ba,group.1um/fe3+_goethite.thincoat
8,1,splib06,5730.0,Goeth+qtz.5+Jarosite.5 AMX11 W1R1BbS,group.1um/fe3+_goeth+jarosite
9,1,sprlb06,738.0,Hematite GDS27 W1R1Ha,group.1um/fe3+_hematite.med.gr.gds27
10,1,splib06,6198.0,Hematite_Thin_Film GDS27 W1R1Ba,group.1um/fe3+_hematite.thincoat
11,1,splib06,2100.0,Hematite FE2602 W1R1Bb,group.1um/fe3+_hematite.fine.gr.fe2602
12,1,sprlb06,906.0,Hematite WS161 W1R1Hb,group.1um/fe3+_hematite.fine.gr.ws161
13,1,sprlb06,840.0,Hematite_Coatd_Qtzt BR93-25A W1R1Hb AREF,group.1um/fe3+_hematite.lg.gr.br25a
14,1,splib06,6174.0,Hematite_Coatd_Qtz BR93-25B W1R1Bb,group.1um/fe3+_hematite.med.gr.br25b
15,1,sprlb06,816.0,Hematite_Coatd_Qtzt BR93-25C W1R1Hb AREF,group.1um/fe3+_hematite.lg.gr.br25c
16,1,splib06,3468.0,Nanohematite BR93-34B2 W1R1BbS,group.1um/fe3+_hematite.nano.BR34b2
17,1,sprlb06,10003.0,nHematit+fg-Goethit 34B2+MPC W1R1Hb,group.1um/fe3+_hematite-nano+goethite-fg-amix
18,1,sprlb06,918.0,Nanohematite FBR93-34B2b ed1 W1R1Hb,group.1um/fe3+_hematite.nano.BR34b2b
19,1,sprlb06,822.0,Hematite_Coatd_Qtz BR93-34C W1R1Ha AREF,group.1um/fe3+_hematite.lg.gr.br34c
20,1,sprlb06,732.0,Lepidocrosite GDS80 (Syn) W1R1Hb,group.1um/fe3+_goethite.lepidocrosite
21,1,sprlb06,10004.0,Hematite-nano_KP58610 400nm r06av95a=a,group.1um/fe3+_hematite.nano.KP58610
22,1,sprlb06,10005.0,Hematite-n0.03_KP58610+Qtz r06av95a=a,group.1um/fe3+_hematite.nano-0.3+qtz
23,1,sprlb06,10006.0,Goethite-nano_KP943 70nm r06av95a=a,group.1um/fe3+_goethite.nano-70nm
24,1,sprlb06,10007.0,Goethite-n0.50_KP943+Qtz r06av95a=a,group.1um/fe3+_goethite.nano0.5+qtz
25,1,sprlb06,10008.0,Hematite.10+Goethite.90 hg1 r06av95a=a,group.1um/fe3+_hematite.1+goethite.9hg1
26,1,sprlb06,10009.0,Hematite.20 Goethite.80 hg2 r06av95a=a,group.1um/fe3+_hematite.2+goethite.8hg2
27,1,sprlb06,10010.0,Hematite.30 Goethite.70 hg3 r06av95a=a,group.1um/fe3+_hematite.3+goethite.7hg3
28,1,sprlb06,10011.0,Hematite0.1+Goeth0.4+Qtz.5 r06av95a=aa,group.1um/fe3+_hematite.1+goeth.4+qtz
29,1,sprlb06,10012.0,Hematite0.4+Goeth0.1+Qtz.5 r06av95a=a,group.1um/fe3+_hematite.4+goeth.1+qtz
30,1,splib06,6042.0,Pyrite LV95-6A Weath on Tail W1R1Bb,group.1um/sulfide_pyrite
31,1,splib06,4476.0,Schwertmannite BZ93-1 W1R1Bb,group.1um/fe3+_sulfate_schwertmannite
32,1,splib06,6144.0,Blck_Mn_Coat_Tailngs LV95-3 W1R1Bb,group.1um/Mn-Coating
33,1,splib06,5316.0,Acid_Mine_Dr Assemb1-Fe3+ W1R1Fb,group.1um/fe3+mix_AMD.assemb1
34,1,splib06,5322.0,Acid_Mine_Dr Assemb2-Fe3+ W1R1Fb,group.1um/fe3+mix_AMD.assemb2
35,1,splib06,10013.0,Ammonio-Jarosite SCR-NHJ s06av95a=,group.1um/fe3+_sulfate_nh3jarosite
36,1,splib06,10014.0,"Jarosite GDS100 Na,Sy 90C s06av95a=a",group.1um/fe3+_sulfate_jarosite-na-gds100
37,1,splib06,10015.0,"Jarosite GDS101 Na,Sy 200C s06av95a=a",group.1um/fe3+_sulfate_jarosite-na-gds101
38,1,splib06,10016.0,Jarosite GDS98 K 90C Syn s06av95a=a,group.1um/fe3+_sulfate_jarosite-k-90c
39,1,splib06,2568.0,Jarosite GDS99 K 200C Syn W1R1BaS,group.1um/fe3+_sulfate_kjarosite200
40,1,splib06,10017.0,Jarosite JR2501 (K) s06av95a=b,group.1um/fe3+_sulfate_jarosite-K-JR2501
41,1,splib06,10018.0,Jarosite NMNH95074-1 (Na) s06av95a=b,group.1um/fe3+_sulfate_jarosite-na-nmnh
42,1,splib06,10019.0,"Jarosite SJ-1 H3O,10-20% s06av95a=b",group.1um/fe3+_sulfate_jarosite-H3O-SJ-1
43,1,splib06,6210.0,Jarosite_on_Qtzite BR93-34A2 W1R1Bb,group.1um/fe3+_sulfate_jarosite_br34a2
44,1,splib06,10020.0,Jarosite_Thin_Film GDS243 s06av95a=b,group.1um/fe3+_sulfate_jarosite-thinfilm
45,1,splib06,5634.0,Chlorite+Muscovite CU93-65A W1R1Ba,group.1um/fe2+_chlor+muscphy
46,1,sprlb06,900.0,Goethite CU91-252 coatedchip W1R1H_,group.1um/fe2+_goeth+musc
47,1,splib06,5604.0,Chlor+Goethite CU93-4B Phyl W1R1Ba,group.1um/fe2+fe3+_chlor+goeth.propylzone
48,1,splib06,1446.0,Cummingtonite HS294.3B W1R1Bc,group.1um/fe2+generic_nrw.cummingtonite
49,1,splib06,72.0,Actinolite NMNHR16485 W1R1Bb,group.1um/fe2+generic_nrw.actinolite
50,1,splib06,42.0,Actinolite HS22.3B W1R1Bb,group.1um/fe2+generic_nrw.hs-actinolite
51,1,splib06,2334.0,Hypersthene NMNHC2368 W1R1Bb,group.1um/fe2+_pyroxene.hypersthene
52,1,splib06,1548.0,Diopside NMNHR18685 ~160 Pyx W1R1Bb,group.1um/fe2+_pyroxene.diopside
53,1,splib06,2502.0,Jadeite HS343.3B W1R1Bb,group.1um/fe2+generic_med.jadeite
54,1,splib06,3966.0,Pigeonite HS199.3B W1R1Bb,group.1um/fe2+_pyroxene_clino_pigeonite
55,1,splib06,1668.0,Epidote GDS26.a 75-200um W1R1Bb,group.1um/epidote
56,1,splib06,5724.0,Fe-Hydroxide SU93-106 amorph W1R1Bb,group.1um/fe3+bearing1
57,1,splib06,1740.0,"Ferrihydrite GDS75 Syn, F6 W1R1Bb",group.1um/fe3+_ferrihydrite
58,1,splib06,3558.0,Nontronite NG-1.a W1R1Bb,group.1um/fe3+_smectite_nontronite
59,1,splib06,5328.0,Actinolite-Hornfels BR93-5a W1R1Bc,group.1um/fe2+generic_brd.br5a_actinolite
60,1,sprlb06,846.0,Magnetite_skarn BR93-5B W1R1Hb AREF,group.1um/fe2+fe3+mix_with_hematite_br5b
61,1,splib06,5334.0,Actinolite-Tremolit BR93-22C W1R1Bb,group.1um/fe2+generic_brd.br22c_actinolite
62,1,splib06,1656.0,Epidote BR93-33a W1R1Bb AREF,group.1um/fe2+generic_br33a_bioqtzmonz_epidote
63,1,splib06,5490.0,Biotite-Chlorite_Mx BR93-36A W1R1Bb,group.1um/fe2+generic_brd.br36a_chlorite
64,1,splib06,5460.0,Basalt_weathered BR93-43 W1R1Bb,group.1um/fe2+fe3+_hematite_weathering
65,1,splib06,5454.0,Basalt_fresh BR93-46B W1R1Bb,group.1um/fe2+generic_basalt_br46b
66,1,splib06,5340.0,Actinolite_Dolomit BR93-60B W1R1BbS,group.1um/fe2+generic_broad_br60b
67,1,splib06,6036.0,Phlogopite_Sand_Mix BR93-20 W1R1Ba,group.1um/fe2+generic_vbroad_br20
68,1,splib06,6942.0,Renyolds_TnlSldgWet SM93-15w W1R1Ba,group.1um/fe2+fe3+_water_RTsludge
69,1,sprlb06,660.0,Clinochlore GDS158 Flagst W1R1Hb,group.1um/fe2+_chlorite.clinochlor
70,1,splib06,1200.0,Clinochlore NMNH83369 W1R1Bb,group.1um/fe2+_chlorite.Felow.clinochlor
71,1,splib06,4890.0,Thuringite SMR-15.c 32um W1R1Ba,group.1um/fe2+_chlorite.thuringite
72,1,splib06,720.0,Azurite WS316 W1R1Ba,group.1um/copper_carbonate_azurite
73,1,splib06,3990.0,Pitch_Limonite GDS104 Cu W1R1B?,group.1um/fe3+copper-hydroxide_pitchlimonite
74,1,splib06,2964.0,Malachite HS254.3B W1R1Bb,group.1um/copper_carbonate_malachite
75,1,splib06,5496.0,Blue_Efflorscnt_Min SU93-300 W1R1Bb,group.1um/copper_sulfate_bluefflor
76,1,splib06,6594.0,Green_Slime SM93-14A Summitv W1R1Ba,group.1um/copper_precipitate_greenslime
77,1,splib06,3696.0,Olivine HS285.4B Fo80 W1R1Bb,group.1um/fe2+_olivine-lrg-gr
78,1,splib06,3666.0,Olivine GDS71.a Fo91 65um W1R1Bb,group.1um/fe2+_olivine-fine-gr
79,1,splib06,4278.0,Rhodochrosite HS338.3B W1R1Bb,group.1um/carbonate_rhodochrosite
80,1,splib06,4560.0,Siderite HS271.3B W1R1Ba,group.1um/fe2+generic_carbonate_siderite1
81,1,splib06,4362.0,Riebeckite NMNH122689 Amph W1R1Ba,group.1um/fe2+generic_amphibole_riebeckite
82,1,splib06,1386.0,Coquimbite GDS22 W1R1Bc,group.1um/fe3+fe2+_sulfate_coquimbite
83,1,splib06,1374.0,Copiapite GDS21 W1R1Bb,group.1um/fe3+fe2+_sulfate_copiapite
84,1,splib06,1134.0,Chrysocolla HS297.3B W1R1Bb,group.1um/copper_chrysocolla
85,1,splib06,10021.0,Neodymium_Oxide GDS34 W1R1Ba,group.1um/ree_neodymium_oxide_g1
86,1,splib06,10022.0,Samarium_Oxide GDS36 W1R1Ba,group.1um/ree_samarium_oxide_g1
87,1,splib06,708.0,Axinite HS342.3B W1R1Bb,group.1um/fe2+generic_axinite
88,1,splib06,4728.0,Staurolite HS188.3B W1R1Bb,group.1um/fe2+generic_staurolite
89,1,splib06,216.0,Almandine WS479 Garnet W1R1Bb,group.1um/fe2+generic_almandine
90,1,splib06,678.0,Augite NMNH120049 W1R1Bb,group.1um/fe2+_pyroxene_augite
91,1,splib06,810.0,Bronzite HS9.3B Pyroxene W1R1Bc,group.1um/fe2+_pyroxene.bronzite
92,1,splib06,858.0,Butlerite GDS25 W1R1Ba,group.1um/fe2+generic_sulfate_butlerite
93,1,splib06,882.0,Bytownite HS106.3B Plagio W1R1Bc,group.1um/fe2+_feldspar.bytownite
94,1,splib06,1002.0,Chalcopyrite HS431.3B W1R1Bb,group.1um/sulfide_copper_chalcopyrite
95,1,splib06,1122.0,Chromite HS281.3B W1R1Bb,group.1um/fe2+_chromite
96,1,splib06,1164.0,Cinnabar HS133.3B W1R1Bc,group.1um/sulfide_cinnabar
97,1,splib06,1458.0,Cuprite HS127.3B W1R1Bb,group.1um/copper_oxide_cuprite
98,1,splib06,6156.0,Desert_Varnish GDS141 W1R1Ba,group.1um/fe3+mn_desert.varnish1
99,1,splib06,6162.0,Desert_Varnish GDS78A Rhy W1R1Ba,group.1um/fe3+mn_desert.varnish2
100,1,splib06,1644.0,Enstatite NMNH128288 W1R1Bc,group.1um/fe2+_pyroxene_enstatite
101,1,splib06,2088.0,Hedenbergite NMNH119197 W1R1Bb,group.1um/fe2+_pyroxene_hedenbergite
102,1,splib06,2796.0,Lazurite HS418.3B W1R1Bb,group.1um/sulfate_lazurite
103,1,splib06,2928.0,Maghemite GDS81 Syn (M-3) W1R1Bb,group.1um/fe3+_maghemite
104,1,splib06,2940.0,Magnetite HS195.3B W1R1Bb,group.1um/magnetite
105,1,splib06,4158.0,Pyrolusite HS138.3B W1R1Bb,group.1um/mn_oxide_pyrolusite
106,1,splib06,3042.0,Microcline HS103.3B Feldspar W1R1Bc,group.1um/fe2+_feldspar_microcline
107,1,splib06,132.0,Albite HS143.3B Plagioclase W1R1Bc,group.1um/fe2+_feldspar_albite
108,1,splib06,3852.0,Orthoclase NMNH142137 Fe W1R1Bb,group.1um/fe2+_feldspar_orthoclase
109,1,splib06,3882.0,Pectolite NMNH94865.a W1R1Bb,group.1um/inosilicate_pectolite
110,1,splib06,4314.0,Rhodonite NMNHC6148 >250um W1R1Bb,group.1um/mn2+_rhodonite
111,1,splib06,4776.0,Sulfur GDS94 Reagent W1R1Ba,group.1um/sulfur
112,2,splib06,7128.0,Dry_Long_Grass AV87-2 W1R1Ba,group.2um/organic_vegetation-dry-grass-long
113,2,splib06,7248.0,Grass_Golden_Dry GDS480 W1R1Fa,group.2um/organic_vegetation-dry-grass-golden
