index,group,library,record,title,path,url
1,1,splib06,6858,Plastic_Tarp GDS339 Green W1R1Fa,group.1um/organic_green_plastic_tarp_1um,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Plastic_Tarp_GDS339_Green_ASDFRa_AREF.html
2,1,sprlb06,744,Hematite.02+Quartz.98 GDS76 W1R1Ha,group.1um/fe3+_hematite.fine.gr.gds76,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite.02+Quartz.98_GDS76_BECKa_AREF.html
3,1,sprlb06,882,Goethite WS222 <250um MedGrn W1R1H_ AREF,group.1um/fe3+_goethite.medgr.ws222,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Medium_Gr._BECKa_AREF.html
4,1,splib06,5736,Goethite0.02+Quartz GDS240 W1R1Ba,group.1um/fe3+_goethite+qtz.medgr.gds240,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite0.02+Quartz_GDS240_BECKa_AREF.html
5,1,splib06,1878,Goethite MPCMA2-B FineGr adj W1R1Bb,group.1um/fe3+_goethite.fingr.mpcma2,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-B_FineGr_adj_BECKb_AREF.html
6,1,sprlb06,852,Goethite MPCMA2-C M-Crsgrad2 W1R1Hb AREF,group.1um/fe3+_goethite.medcoarsegr.mpcma2,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_MPCMA2-C_M-Crsgrad2_BECKb_AREF.html
7,1,sprlb06,894,Goethite WS222 coarse grain W1R1H_,group.1um/fe3+_goethite.coarsegr.ws222,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_WS222_Coarse_Gr._BECKa_AREF.html
8,1,splib06,6168,Goethite_Thin_Film WS222 W1R1Ba,group.1um/fe3+_goethite.thincoat,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goethite_Thin_Film_WS222_BECKa_AREF.html
9,1,splib06,5730,Goeth+qtz.5+Jarosite.5 AMX11 W1R1BbS,group.1um/fe3+_goeth+jarosite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Goeth+qtz.5+Jarosite.5_AMX11_BECKb_AREF.html
10,1,splib06,6042,Pyrite LV95-6A Weath on Tail W1R1Bb,group.1um/sulfide_pyrite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pyrite_LV95-6A_Weath_on_Tail_BECKb_AREF.html
11,1,splib06,4476,Schwertmannite BZ93-1 W1R1Bb,group.1um/fe3+_sulfate_schwertmannite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Schwertmannite_BZ93-1_BECKb_AREF.html
12,1,splib06,6144,Blck_Mn_Coat_Tailngs LV95-3 W1R1Bb,group.1um/Mn-Coating,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Blck_Mn_Coat_Tailngs_LV95-3_BECKb_AREF.html
13,1,splib06,5316,Acid_Mine_Dr Assemb1-Fe3+ W1R1Fb,group.1um/fe3+mix_AMD.assemb1,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Acid_Mine_Dr_Assemb1-Fe3+_ASDFRb_AREF.html
14,1,splib06,5322,Acid_Mine_Dr Assemb2-Fe3+ W1R1Fb,group.1um/fe3+mix_AMD.assemb2,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Acid_Mine_Dr_Assemb2-Fe3+_ASDFRb_AREF.html
15,1,splib06,2568,Jarosite GDS99 K 200C Syn W1R1BaS,group.1um/fe3+_sulfate_kjarosite200,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jarosite_GDS99_K_200C_Syn_BECKa_AREF.html
16,1,sprlb06,732,Lepidocrosite GDS80 (Syn) W1R1Hb,group.1um/fe3+_goethite.lepidocrosite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Lepidocrocite_GDS80_(Syn)_BECKb_AREF.html
17,1,splib06,5634,Chlorite+Muscovite CU93-65A W1R1Ba,group.1um/fe2+_chlor+muscphy,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlorite+Muscovite_CU93-65A_BECKa_AREF.html
18,1,sprlb06,900,Goethite CU91-252 coatedchip W1R1H_,group.1um/fe2+_goeth+musc,No available USGS Spectral Library 7 Description Reference
19,1,splib06,5604,Chlor+Goethite CU93-4B Phyl W1R1Ba,group.1um/fe2+fe3+_chlor+goeth.propylzone,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Chlor+Goethite_CU93-4B_Phyl_BECKa_AREF.html
20,1,splib06,1446,Cummingtonite HS294.3B W1R1Bc,group.1um/fe2+generic_nrw.cummingtonite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Cummingtonite_HS294.3B_BECKc_AREF.html
21,1,splib06,72,Actinolite NMNHR16485 W1R1Bb,group.1um/fe2+generic_nrw.actinolite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_NMNHR16485_BECKb_AREF.html
22,1,splib06,42,Actinolite HS22.3B W1R1Bb,group.1um/fe2+generic_nrw.hs-actinolite,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_HS22.3B_BECKb_AREF.html
23,1,splib06,2334,Hypersthene NMNHC2368 W1R1Bb,group.1um/fe2+_pyroxene.hypersthene,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hypersthene_NMNHC2368_BECKb_AREF.html
